year	Marketplace	Document Automation	Practice Management	Online Dispute Resolution	Legal Research	Compliance	E-Discovery	Analytics	Legal Education
1874	1	0	0	0	0	0	0	0	0
1888	0	1	0	0	0	0	0	0	0
1901	0	1	1	0	0	0	0	0	0
1909	0	1	0	0	0	0	0	0	0
1919	1	0	0	0	0	0	0	0	0
1920	0	1	0	0	0	0	0	0	0
1921	0	0	1	0	0	0	0	0	0
1929	0	0	0	0	0	0	0	0	1
1932	0	0	0	0	0	1	0	0	0
1933	1	0	0	0	0	0	0	0	0
1937	0	0	1	0	0	0	0	0	0
1938	1	0	0	0	0	0	0	0	0
1939	0	0	1	0	0	0	0	0	0
1945	0	0	0	0	0	0	0	1	0
1946	2	0	0	0	0	0	0	0	0
1947	0	0	1	0	0	0	0	0	0
1948	0	0	0	0	0	0	1	0	1
1952	1	0	0	0	1	0	0	0	0
1954	1	0	0	0	0	0	0	0	0
1955	1	0	0	0	0	0	0	0	0
1964	0	0	0	0	0	1	0	0	0
1965	0	0	1	0	0	0	0	0	0
1967	0	0	0	0	0	0	0	0	1
1969	0	0	1	0	0	0	0	0	0
1970	0	0	0	0	1	0	0	0	0
1973	1	1	1	0	0	0	0	0	0
1976	2	0	0	0	0	1	0	0	0
1978	1	0	0	0	0	0	0	0	0
1979	0	0	0	0	0	1	0	0	0
1980	2	0	0	0	0	0	0	0	0
1981	0	0	1	0	0	0	0	0	0
1982	1	0	0	0	0	0	0	0	1
1983	0	0	0	0	0	0	1	0	0
1984	1	0	0	0	0	1	0	0	0
1986	1	0	1	0	1	0	0	0	0
1987	1	0	0	0	0	0	0	0	0
1988	1	0	0	0	0	0	1	0	0
1989	3	0	0	0	1	0	1	0	1
1990	0	1	3	0	0	1	0	1	0
1992	2	0	1	0	1	0	0	1	0
1993	1	0	1	0	0	0	0	0	0
1994	2	1	2	0	0	0	0	0	1
1995	2	2	1	0	0	0	0	0	1
1996	2	1	1	0	0	0	1	0	0
1997	1	1	2	0	0	0	1	2	1
1998	3	0	2	0	1	1	0	0	0
1999	2	1	5	0	2	0	0	1	0
2000	6	3	3	2	2	0	1	2	0
2001	2	2	4	1	1	1	0	0	2
2002	4	5	4	1	1	1	1	0	0
2003	4	1	5	0	0	0	1	2	0
2004	4	4	2	0	0	0	1	0	1
2005	1	5	0	0	1	1	4	0	1
2006	2	4	5	1	2	0	1	1	0
2007	4	5	7	0	1	1	0	0	2
2008	7	7	10	1	5	2	2	0	1
2009	6	3	8	0	0	3	1	4	1
2010	18	8	11	1	2	1	0	2	2
2011	19	12	14	3	5	1	4	3	4
2012	31	21	15	3	10	1	1	12	4
2013	44	44	25	6	11	0	8	4	8
2014	52	53	28	8	10	6	15	17	7
2015	71	58	46	6	12	7	5	26	7
2016	71	39	51	4	11	10	5	18	8
2017	49	36	27	6	12	13	4	9	5
2018	46	32	20	2	6	16	2	10	10
2019	26	21	26	2	1	4	2	5	3
2020	5	2	0	0	1	1	0	1	0
