year,most_popular_category, count
1874,Marketplace,1
1888,Document Automation,1
19002014,E-Discovery,1
1901,Practice Management,1
1909,Document Automation,1
1919,Marketplace,1
1920,Document Automation,1
1921,Practice Management,1
1929,Legal Education,1
1932,Compliance,1
1933,Marketplace,1
1937,Practice Management,1
1938,Marketplace,1
1939,Practice Management,1
1945,Analytics,1
1946,Marketplace,2
1947,Practice Management,1
1948,E-Discovery,1
1952,Legal Research,1
1954,Marketplace,1
1955,Marketplace,1
1964,Compliance,1
1965,Practice Management,1
1967,Legal Education,1
1969,Practice Management,1
1970,Legal Research,1
1973,Document Automation,1
1976,Marketplace,2
1978,Marketplace,1
1979,Compliance,1
1980,Marketplace,2
1981,Practice Management,1
1982,Legal Education,1
1983,E-Discovery,1
1984,Marketplace,1
1986,Legal Research,1
1987,Marketplace,1
1988,E-Discovery,1
1989,Marketplace,3
1990,Practice Management,3
1992,Marketplace,2
1993,Marketplace,1
1994,Marketplace,2
1995,Document Automation,2
1996,Marketplace,2
1997,Practice Management,2
1998,Marketplace,3
1999,Practice Management,5
2000,Marketplace,6
2001,Practice Management,4
2002,Document Automation,5
2003,Practice Management,5
2004,Marketplace,4
2005,Document Automation,5
2006,Practice Management,5
2007,Practice Management,7
2008,Practice Management,10
2009,Practice Management,8
2010,Marketplace,18
2011,Marketplace,17
2012,Marketplace,30
2013,Document Automation,44
2014,Document Automation,53
2015,Marketplace,71
2016,Marketplace,66
2017,Marketplace,46
2018,Marketplace,45
2019,Marketplace,26
2020,Marketplace,5
