country_name	number_of_companies	total_links	success_rating
Canada	80	333	4.1625
USA	754	2924	3.8779840848806364
Spain	30	125	4.166666666666667
NT	1	4	4.0
Colombia	8	27	3.375
UK	93	362	3.89247311827957
Russia	2	3	1.5
France	37	146	3.945945945945946
Mexico	9	38	4.222222222222222
Israel	32	104	3.25
Czech Republic	1	2	2.0
Denmark	8	28	3.5
Norway	4	15	3.75
Chile	9	28	3.111111111111111
Australia	37	140	3.7837837837837838
Malaysia	5	20	4.0
Ukraine	6	22	3.6666666666666665
India	56	227	4.053571428571429
Serbia	1	3	3.0
Thailand	2	8	4.0
Bulgaria	6	24	4.0
Brazil	57	194	3.4035087719298245
Germany	48	186	3.875
Peru	1	5	5.0
Italy	9	32	3.5555555555555554
South Africa	4	15	3.75
Ireland	7	25	3.5714285714285716
Hong Kong	5	19	3.8
The Netherlands	21	74	3.5238095238095237
Fla	1	5	5.0
Austria	3	14	4.666666666666667
China	6	14	2.3333333333333335
Belgium	8	31	3.875
New Zealand	6	23	3.8333333333333335
Singapore	9	34	3.7777777777777777
Estonia	7	25	3.5714285714285716
BC	2	9	4.5
Switzerland	15	49	3.2666666666666666
Finland	3	12	4.0
Taiwan	3	13	4.333333333333333
Japan	14	34	2.4285714285714284
Pakistan	1	4	4.0
Greece	1	5	5.0
Sweden	11	46	4.181818181818182
NSW	1	0	0.0
Kenya	4	15	3.75
Netherlands	1	4	4.0
Lithuania	2	6	3.0
Bangladesh	1	5	5.0
Argentina	2	8	4.0
Poland	6	16	2.6666666666666665
Armenia	1	4	4.0
Indonesia	6	21	3.5
Lebanon	1	5	5.0
Russian Federation	8	24	3.0
South Korea	4	11	2.75
UAE	1	4	4.0
Turkey	1	3	3.0
Moscow	1	2	2.0
GE	1	4	4.0
Nigeria	1	4	4.0
Nepal	1	5	5.0
Malmö	1	5	5.0
Toronto ON  MB G	1	5	5.0
Europe	1	5	5.0
Sénégal	1	1	1.0
Philippines	2	8	4.0
Hungary	2	7	3.5
Luxembourg	1	5	5.0
Belarus	1	2	2.0
Zimbabwe	2	8	4.0
Cayman Islands	1	4	4.0
Iran	2	8	4.0
Portugal	1	5	5.0
Romania	1	3	3.0
Trinidad and Tobago	1	3	3.0
Zambia	1	4	4.0
Uganda	2	7	3.5
